iter	Logloss
0	0.6495590976
1	0.611646422
2	0.583036144
3	0.5597587224
4	0.5374377362
5	0.5239442251
6	0.5110153867
7	0.5022698006
8	0.4944993434
9	0.484272025
10	0.4765866845
11	0.4719172706
12	0.4667363937
13	0.4610407907
14	0.4428825178
15	0.4394755678
16	0.4355951716
17	0.4331421737
18	0.4296322351
19	0.4180815099
20	0.4104772983
21	0.4087959107
22	0.407627257
23	0.3992990409
24	0.3982612328
25	0.3945642623
26	0.3923826971
27	0.3861407863
28	0.3833328354
29	0.3818775738
30	0.3812697616
31	0.3784599658
32	0.3778338105
33	0.3733796635
34	0.3711687174
35	0.369570973
36	0.3661740098
37	0.3639319395
38	0.3629633733
39	0.359146615
40	0.3576902132
41	0.3562674507
42	0.3552721221
43	0.3549970399
44	0.3544293996
45	0.3539487714
46	0.3533543678
47	0.3529556057
48	0.3514691068
49	0.3490734831
50	0.3479363846
51	0.3468372221
52	0.3446578658
53	0.3429359917
54	0.3426752536
55	0.3424327221
56	0.3421925305
57	0.3403022653
58	0.3401152575
59	0.3384528304
60	0.3369464357
61	0.3367969555
62	0.3358547813
63	0.3350562276
64	0.3348638787
65	0.3345629067
66	0.3344432149
67	0.3334899017
68	0.331978387
69	0.3318543444
70	0.3316819718
71	0.3300789603
72	0.3299159932
73	0.3297324433
74	0.3292536257
75	0.3290263668
76	0.3280885883
77	0.3279173411
78	0.3272358044
79	0.3268253594
80	0.3267037218
81	0.3263424815
82	0.3262794674
83	0.3261828281
84	0.3250828812
85	0.3245766145
86	0.3244218131
87	0.3236232502
88	0.3234906242
89	0.3232358465
90	0.3231385984
91	0.3230501927
92	0.3227442466
93	0.3226624092
94	0.3224996205
95	0.3217828937
96	0.3215171897
97	0.3211328937
98	0.3209931883
99	0.3202726739
100	0.320161636
101	0.320003637
102	0.3198899746
103	0.3197340242
104	0.3196273074
105	0.3192639677
106	0.3183665352
107	0.3182828025
108	0.3180939756
109	0.3178516789
110	0.3177796049
111	0.3168777757
112	0.3167877863
113	0.316702952
114	0.3164589313
115	0.3163320673
116	0.3162160426
117	0.3161441105
118	0.3160695205
119	0.3160002025
120	0.3155097432
121	0.3154391123
122	0.3153352023
123	0.3151777415
124	0.3151199227
125	0.3145272084
126	0.3144475643
127	0.314366841
128	0.3142984121
129	0.3137072131
130	0.313588572
131	0.3135154172
132	0.3134320581
133	0.313348603
134	0.31329746
135	0.313225689
136	0.3130144958
137	0.3127976841
138	0.312756692
139	0.3126706685
140	0.3125524152
141	0.3121964682
142	0.3121586377
143	0.3114961152
144	0.3114474336
145	0.3113547296
146	0.3113214868
147	0.3112451385
148	0.3108786143
149	0.3105333585
150	0.3100665633
151	0.3098324211
152	0.3096741939
153	0.3086876689
154	0.3085533566
155	0.3079163514
156	0.3070713219
157	0.3068280828
158	0.3067471225
159	0.3062710001
160	0.306204053
161	0.3056740438
162	0.3054334329
163	0.3053594339
164	0.3052976489
165	0.3045447282
166	0.3044613528
167	0.3043591096
168	0.30377682
169	0.3036887864
170	0.3036151617
171	0.3035341126
172	0.3031469413
173	0.3030375029
174	0.3029433863
175	0.3028524951
176	0.3027328396
177	0.3024316052
178	0.3021630947
179	0.3020884087
180	0.3020049834
181	0.3019164068
182	0.3018735401
183	0.3017920948
184	0.3016760831
185	0.301605113
186	0.3015249244
187	0.3014581651
188	0.3011530528
189	0.3010544504
190	0.3009838375
191	0.3008870613
192	0.3007896588
193	0.3006673343
194	0.3003740007
195	0.3002707127
196	0.3000610926
197	0.2999844066
198	0.2999072177
199	0.2998510984
200	0.2997721314
201	0.2995694638
202	0.2993082163
203	0.2992505671
204	0.2991275672
205	0.2990754589
206	0.2989926733
207	0.2989095595
208	0.298635824
209	0.2985970462
210	0.2985371623
211	0.2983521178
212	0.2982659517
213	0.2981638777
214	0.2981006017
215	0.2978661207
216	0.2977810667
217	0.2976834846
218	0.2975238692
219	0.2973373084
220	0.2971981693
221	0.2971139537
222	0.2966459824
223	0.2962871568
224	0.2961384677
225	0.2960828483
226	0.2955291079
227	0.295441591
228	0.295369943
229	0.2952866577
230	0.2952230992
231	0.2951524135
232	0.2948238272
233	0.2947583952
234	0.2946668873
235	0.2946250881
236	0.2945495786
237	0.2944896677
238	0.2944525403
239	0.2944064921
240	0.294351916
