iter	Passed	Remaining
0	13	13393
1	24	12258
2	37	12528
3	48	12097
4	59	11842
5	70	11726
6	82	11723
7	93	11622
8	104	11543
9	116	11492
10	127	11447
11	139	11448
12	150	11459
13	162	11430
14	173	11414
15	184	11322
16	195	11322
17	207	11311
18	218	11287
19	230	11272
20	241	11278
21	253	11279
22	266	11304
23	278	11310
24	289	11300
25	300	11269
26	312	11245
27	321	11155
28	332	11146
29	344	11144
30	356	11139
31	368	11147
32	380	11148
33	392	11149
34	404	11143
35	415	11133
36	426	11112
37	438	11107
38	450	11091
39	461	11074
40	471	11034
41	481	10977
42	494	10998
43	505	10985
44	517	10978
45	528	10961
46	540	10957
47	554	10989
48	565	10981
49	577	10967
50	589	10960
51	600	10955
52	612	10948
53	624	10941
54	636	10938
55	647	10917
56	659	10915
57	671	10902
58	682	10888
59	694	10886
60	706	10875
61	717	10857
62	735	10942
63	754	11028
64	772	11114
65	791	11205
66	803	11185
67	816	11185
68	834	11255
69	852	11320
70	868	11359
71	880	11348
72	892	11327
73	903	11304
74	915	11285
75	926	11267
76	939	11264
77	951	11241
78	962	11223
79	974	11201
80	985	11186
81	997	11168
82	1008	11147
83	1020	11126
84	1031	11107
85	1043	11087
86	1054	11067
87	1066	11049
88	1078	11035
89	1090	11026
90	1101	11006
91	1113	10990
92	1125	10974
93	1136	10957
94	1148	10936
95	1159	10922
96	1172	10911
97	1193	10982
98	1204	10965
99	1216	10945
100	1234	10987
101	1256	11058
102	1268	11044
103	1287	11088
104	1298	11070
105	1314	11082
106	1327	11075
107	1338	11057
108	1350	11038
109	1362	11021
110	1373	11002
111	1385	10988
112	1397	10972
113	1409	10953
114	1420	10930
115	1431	10912
116	1443	10890
117	1454	10871
118	1466	10855
119	1478	10838
120	1489	10820
121	1501	10805
122	1513	10791
123	1525	10776
124	1536	10758
125	1549	10746
126	1561	10731
127	1572	10713
128	1584	10697
129	1596	10684
130	1607	10666
131	1620	10657
132	1632	10644
133	1644	10627
134	1655	10610
135	1667	10591
136	1679	10577
137	1690	10557
138	1701	10541
139	1713	10525
140	1725	10510
141	1736	10493
142	1748	10478
143	1760	10462
144	1771	10446
145	1783	10432
146	1795	10416
147	1806	10402
148	1818	10386
149	1830	10371
150	1841	10356
151	1854	10343
152	1866	10330
153	1877	10316
154	1889	10300
155	1901	10285
156	1912	10270
157	1924	10254
158	1935	10239
159	1947	10224
160	1958	10208
161	1971	10195
162	1982	10181
163	1994	10166
164	2005	10151
165	2017	10137
166	2030	10128
167	2042	10113
168	2054	10100
169	2065	10086
170	2077	10072
171	2089	10057
172	2100	10042
173	2112	10028
174	2124	10015
175	2135	9999
176	2147	9984
177	2158	9969
178	2170	9953
179	2182	9940
180	2194	9929
181	2206	9915
182	2217	9900
183	2229	9885
184	2240	9870
185	2252	9856
186	2264	9844
187	2276	9830
188	2287	9815
189	2299	9801
190	2311	9790
191	2323	9776
192	2335	9764
193	2348	9755
194	2359	9741
195	2372	9733
196	2384	9717
197	2395	9703
198	2407	9688
199	2418	9674
200	2430	9662
201	2442	9647
202	2453	9631
203	2465	9618
204	2477	9607
205	2488	9592
206	2500	9578
207	2511	9563
208	2523	9551
209	2535	9537
210	2546	9522
211	2558	9508
212	2570	9496
213	2581	9482
214	2593	9469
215	2605	9456
216	2616	9441
217	2627	9426
218	2638	9411
219	2649	9395
220	2661	9381
221	2672	9366
222	2684	9352
223	2695	9339
224	2707	9326
225	2719	9313
226	2731	9300
227	2742	9285
228	2754	9272
229	2765	9257
230	2776	9244
231	2788	9229
232	2799	9216
233	2811	9203
234	2823	9190
235	2834	9176
236	2854	9188
237	2867	9181
238	2879	9167
239	2890	9153
240	2902	9140
241	2914	9128
242	2925	9114
243	2938	9104
244	2950	9092
245	2962	9080
246	2974	9067
247	2985	9052
248	2997	9041
249	3009	9028
250	3021	9017
251	3033	9004
252	3045	8990
253	3057	8979
254	3069	8967
255	3080	8953
256	3093	8943
257	3105	8930
258	3117	8919
259	3128	8905
260	3140	8892
261	3152	8879
262	3164	8866
263	3176	8854
264	3187	8841
265	3199	8828
266	3211	8815
267	3223	8803
268	3234	8789
269	3246	8776
270	3257	8763
271	3270	8752
272	3281	8738
273	3292	8725
274	3307	8720
275	3321	8713
276	3333	8701
277	3345	8688
278	3357	8675
279	3368	8661
280	3380	8648
281	3391	8635
282	3403	8622
283	3414	8608
284	3426	8596
285	3438	8585
286	3450	8572
287	3461	8558
288	3473	8546
289	3485	8532
290	3496	8519
291	3508	8505
292	3520	8493
293	3532	8481
294	3544	8469
295	3555	8456
296	3567	8444
297	3579	8431
298	3591	8421
299	3603	8408
300	3615	8396
301	3627	8383
302	3639	8371
303	3650	8358
304	3662	8346
305	3674	8334
306	3686	8321
307	3698	8310
308	3710	8296
309	3721	8283
310	3732	8270
311	3744	8257
312	3756	8244
313	3767	8231
314	3779	8219
315	3791	8206
316	3803	8194
317	3814	8180
318	3826	8168
319	3837	8155
320	3849	8142
321	3861	8130
322	3872	8116
323	3884	8103
324	3895	8090
325	3906	8076
326	3918	8064
327	3930	8052
328	3942	8041
329	3954	8028
330	3966	8017
331	3978	8004
332	3990	7993
333	4002	7980
334	4013	7967
335	4025	7955
336	4037	7943
337	4049	7931
338	4061	7920
339	4073	7907
340	4085	7896
341	4098	7884
342	4110	7873
343	4122	7861
344	4134	7849
345	4146	7837
346	4158	7824
347	4169	7812
348	4181	7800
349	4193	7787
350	4205	7775
351	4216	7762
352	4228	7750
353	4240	7737
354	4252	7725
355	4264	7713
356	4275	7701
357	4287	7688
358	4298	7675
359	4310	7663
360	4323	7652
361	4334	7639
362	4346	7626
363	4357	7614
364	4369	7601
365	4380	7588
366	4392	7576
367	4404	7565
368	4416	7552
369	4427	7539
370	4439	7526
371	4450	7513
372	4462	7501
373	4474	7489
374	4486	7476
375	4497	7464
376	4509	7452
377	4520	7439
378	4532	7426
379	4543	7413
380	4554	7400
381	4566	7387
382	4578	7375
383	4589	7363
384	4601	7350
385	4613	7339
386	4625	7327
387	4637	7314
388	4649	7302
389	4660	7290
390	4672	7277
391	4683	7264
392	4694	7251
393	4706	7239
394	4718	7226
395	4730	7214
396	4741	7202
397	4753	7190
398	4765	7177
399	4776	7165
400	4788	7152
401	4799	7140
402	4812	7128
403	4823	7116
404	4835	7104
405	4847	7091
406	4858	7079
407	4870	7067
408	4883	7055
409	4895	7044
410	4907	7032
411	4919	7020
412	4930	7008
413	4942	6995
414	4953	6982
415	4966	6972
416	4979	6961
417	4990	6948
418	5002	6936
419	5013	6923
420	5025	6911
421	5037	6899
422	5049	6887
423	5061	6875
424	5073	6864
425	5084	6851
426	5096	6838
427	5108	6826
428	5119	6814
429	5130	6801
430	5142	6788
431	5154	6777
432	5166	6765
433	5177	6752
434	5189	6740
435	5201	6729
436	5213	6716
437	5225	6704
438	5236	6692
439	5248	6680
440	5260	6668
441	5272	6656
442	5284	6644
443	5296	6633
444	5308	6620
445	5320	6608
446	5332	6597
447	5344	6585
448	5355	6572
449	5367	6560
450	5379	6548
451	5390	6535
452	5401	6522
453	5413	6510
454	5424	6497
455	5436	6485
456	5447	6473
457	5459	6460
458	5471	6448
459	5483	6436
460	5494	6424
461	5506	6412
462	5518	6400
463	5529	6387
464	5541	6375
465	5553	6363
466	5564	6351
467	5576	6339
468	5588	6327
469	5600	6315
470	5612	6303
471	5623	6291
472	5635	6278
473	5646	6266
474	5659	6255
475	5673	6246
476	5692	6241
477	5711	6237
478	5730	6233
479	5747	6226
480	5760	6215
481	5780	6212
482	5799	6207
483	5815	6199
484	5827	6187
485	5839	6175
486	5851	6164
487	5863	6152
488	5876	6140
489	5888	6128
490	5899	6116
491	5911	6104
492	5923	6092
493	5936	6080
494	5947	6068
495	5959	6056
496	5972	6044
497	5984	6032
498	5997	6021
499	6009	6009
500	6021	5997
501	6033	5985
502	6045	5973
503	6057	5961
504	6070	5950
505	6082	5938
506	6094	5926
507	6106	5914
508	6118	5902
509	6130	5890
510	6142	5878
511	6154	5866
512	6166	5853
513	6179	5842
514	6191	5830
515	6203	5818
516	6215	5806
517	6226	5794
518	6239	5782
519	6251	5770
520	6262	5758
521	6274	5745
522	6287	5734
523	6299	5722
524	6312	5710
525	6324	5699
526	6336	5686
527	6348	5674
528	6360	5662
529	6372	5650
530	6384	5638
531	6396	5626
532	6409	5615
533	6421	5603
534	6433	5592
535	6445	5580
536	6458	5568
537	6470	5556
538	6483	5544
539	6495	5533
540	6508	5521
541	6520	5509
542	6532	5497
543	6544	5485
544	6556	5473
545	6568	5461
546	6580	5449
547	6592	5437
548	6605	5426
549	6617	5414
550	6629	5402
551	6642	5390
552	6654	5378
553	6667	5367
554	6679	5355
555	6691	5343
556	6704	5332
557	6716	5320
558	6729	5308
559	6742	5297
560	6754	5285
561	6767	5273
562	6779	5262
563	6791	5250
564	6803	5238
565	6815	5226
566	6827	5214
567	6839	5201
568	6852	5190
569	6864	5178
570	6876	5166
571	6888	5154
572	6901	5142
573	6913	5131
574	6926	5119
575	6937	5106
576	6950	5095
577	6963	5083
578	6975	5072
579	6987	5060
580	6999	5047
581	7011	5035
582	7023	5023
583	7035	5011
584	7047	4999
585	7060	4988
586	7073	4976
587	7085	4964
588	7098	4953
589	7110	4941
590	7123	4929
591	7135	4917
592	7149	4906
593	7161	4894
594	7174	4883
595	7186	4871
596	7199	4860
597	7212	4848
598	7224	4836
599	7237	4825
600	7250	4813
601	7263	4802
602	7276	4790
603	7288	4778
604	7304	4768
605	7316	4757
606	7328	4745
607	7341	4733
608	7353	4721
609	7366	4709
610	7379	4698
611	7391	4686
612	7403	4674
613	7416	4662
614	7428	4650
615	7441	4638
616	7454	4627
617	7467	4615
618	7480	4604
619	7492	4592
620	7505	4580
621	7517	4568
622	7530	4556
623	7543	4545
624	7555	4533
625	7568	4521
626	7581	4509
627	7594	4498
628	7606	4486
629	7619	4474
630	7632	4463
631	7645	4451
632	7657	4439
633	7670	4427
634	7682	4416
635	7695	4404
636	7708	4392
637	7720	4380
638	7733	4368
639	7746	4357
640	7758	4345
641	7770	4333
642	7783	4321
643	7796	4309
644	7809	4298
645	7821	4286
646	7834	4274
647	7846	4262
648	7859	4250
649	7872	4239
650	7886	4227
651	7899	4216
652	7911	4204
653	7924	4192
654	7936	4180
655	7950	4169
656	7963	4157
657	7977	4146
658	7990	4134
659	8003	4123
660	8015	4111
661	8028	4099
662	8041	4087
663	8054	4075
664	8067	4064
665	8079	4052
666	8092	4040
667	8105	4028
668	8118	4016
669	8131	4004
670	8143	3992
671	8156	3981
672	8169	3969
673	8182	3957
674	8194	3945
675	8207	3933
676	8219	3921
677	8232	3910
678	8245	3898
679	8260	3887
680	8273	3875
681	8286	3863
682	8300	3852
683	8312	3840
684	8325	3828
685	8338	3816
686	8351	3805
687	8364	3792
688	8376	3781
689	8389	3769
690	8401	3757
691	8414	3745
692	8427	3733
693	8441	3721
694	8453	3709
695	8466	3697
696	8480	3686
697	8497	3676
698	8510	3664
699	8522	3652
700	8536	3641
701	8549	3629
702	8561	3617
703	8575	3605
704	8588	3593
705	8600	3581
706	8613	3569
707	8626	3557
708	8638	3545
709	8651	3533
710	8664	3521
711	8677	3510
712	8691	3498
713	8704	3486
714	8717	3474
715	8730	3462
716	8743	3451
717	8755	3438
718	8768	3426
719	8780	3414
720	8793	3402
721	8806	3390
722	8819	3378
723	8831	3366
724	8845	3355
725	8857	3342
726	8870	3330
727	8885	3320
728	8905	3310
729	8925	3301
730	8944	3291
731	8957	3279
732	8971	3267
733	8983	3255
734	9000	3244
735	9015	3233
736	9028	3221
737	9042	3210
738	9055	3198
739	9068	3186
740	9081	3174
741	9095	3162
742	9109	3150
743	9122	3139
744	9136	3127
745	9149	3115
746	9162	3103
747	9175	3091
748	9187	3079
749	9201	3067
750	9214	3055
751	9227	3042
752	9240	3031
753	9253	3018
754	9266	3007
755	9279	2995
756	9292	2982
757	9305	2970
758	9318	2958
759	9331	2946
760	9346	2935
761	9358	2923
762	9371	2910
763	9383	2898
764	9396	2886
765	9409	2874
766	9422	2862
767	9434	2850
768	9447	2838
769	9460	2825
770	9473	2813
771	9486	2801
772	9499	2789
773	9511	2777
774	9524	2765
775	9537	2753
776	9551	2741
777	9564	2729
778	9577	2717
779	9590	2705
780	9603	2692
781	9616	2680
782	9629	2668
783	9643	2656
784	9655	2644
785	9667	2632
786	9680	2620
787	9693	2607
788	9705	2595
789	9719	2583
790	9731	2571
791	9744	2559
792	9757	2546
793	9769	2534
794	9782	2522
795	9794	2510
796	9807	2497
797	9819	2485
798	9832	2473
799	9845	2461
800	9857	2449
801	9870	2436
802	9883	2424
803	9898	2413
804	9910	2400
805	9930	2390
806	9942	2377
807	9954	2365
808	9967	2353
809	9979	2340
810	9992	2328
811	10005	2316
812	10018	2304
813	10032	2292
814	10045	2280
815	10057	2267
816	10071	2255
817	10084	2243
818	10096	2231
819	10109	2219
820	10122	2206
821	10139	2195
822	10153	2183
823	10169	2172
824	10187	2161
825	10203	2149
826	10220	2137
827	10235	2126
828	10251	2114
829	10271	2103
830	10291	2092
831	10305	2080
832	10320	2069
833	10340	2058
834	10358	2046
835	10378	2035
836	10396	2024
837	10421	2014
838	10440	2003
839	10456	1991
840	10474	1980
841	10494	1969
842	10514	1958
843	10534	1947
844	10550	1935
845	10566	1923
846	10586	1912
847	10603	1900
848	10622	1889
849	10645	1878
850	10668	1867
851	10691	1857
852	10709	1845
853	10728	1834
854	10748	1822
855	10768	1811
856	10782	1799
857	10794	1786
858	10807	1773
859	10820	1761
860	10833	1748
861	10846	1736
862	10859	1723
863	10872	1711
864	10886	1698
865	10898	1686
866	10911	1673
867	10923	1661
868	10937	1648
869	10951	1636
870	10964	1623
871	10976	1611
872	10988	1598
873	11001	1586
874	11014	1573
875	11027	1560
876	11040	1548
877	11052	1535
878	11065	1523
879	11078	1510
880	11091	1498
881	11104	1485
882	11116	1472
883	11129	1460
884	11141	1447
885	11154	1435
886	11166	1422
887	11178	1409
888	11190	1397
889	11202	1384
890	11215	1372
891	11227	1359
892	11240	1346
893	11253	1334
894	11265	1321
895	11278	1309
896	11290	1296
897	11302	1283
898	11315	1271
899	11327	1258
900	11340	1246
901	11352	1233
902	11365	1220
903	11377	1208
904	11389	1195
905	11403	1183
906	11415	1170
907	11428	1157
908	11441	1145
909	11454	1132
910	11467	1120
911	11479	1107
912	11492	1095
913	11504	1082
914	11517	1069
915	11529	1057
916	11541	1044
917	11553	1032
918	11566	1019
919	11578	1006
920	11590	994
921	11602	981
922	11614	968
923	11626	956
924	11639	943
925	11651	931
926	11663	918
927	11678	906
928	11691	893
929	11703	880
930	11716	868
931	11728	855
932	11741	843
933	11753	830
934	11765	817
935	11779	805
936	11792	792
937	11804	780
938	11816	767
939	11829	755
940	11841	742
941	11853	729
942	11865	717
943	11877	704
944	11890	692
945	11902	679
946	11915	666
947	11927	654
948	11940	641
949	11952	629
950	11965	616
951	11977	603
952	11989	591
953	12002	578
954	12014	566
955	12027	553
956	12040	540
957	12052	528
958	12064	515
959	12077	503
960	12090	490
961	12103	478
962	12115	465
963	12128	452
964	12140	440
965	12152	427
966	12164	415
967	12177	402
968	12189	389
969	12201	377
970	12213	364
971	12226	352
972	12239	339
973	12252	327
974	12264	314
975	12277	301
976	12290	289
977	12302	276
978	12315	264
979	12327	251
980	12340	239
981	12352	226
982	12364	213
983	12376	201
984	12389	188
985	12401	176
986	12413	163
987	12426	150
988	12438	138
989	12450	125
990	12462	113
991	12474	100
992	12487	88
993	12499	75
994	12512	62
995	12524	50
996	12536	37
997	12548	25
998	12560	12
999	12573	0
